"hhid","h04_sex","h14_cls_wkr","h06_status","urb","age_group"
"2842800000000052428",1,0,2,1,"50 to 59"
"3944500000000063445",1,0,2,2,"40 to 49"
"3780100000000061801",1,0,2,2,"50 to 59"
"831000000000032310",1,0,2,1,"30 to 39"
"3992400000000063924",1,0,2,2,"30 to 39"
"2953100000000053531",1,0,2,1,"50 to 59"
"1530300000000039303",1,0,2,2,"18 to 29"
"1220000000000036200",1,0,2,1,"60 to 69"
"2846500000000052465",1,0,2,2,"50 to 59"
"2076500000000044765",1,0,3,1,"60 to 69"
"2251200000000046512",1,0,2,2,"30 to 39"
"2251300000000046513",1,0,2,2,"40 to 49"
"2094500000000044945",1,0,4,1,"60 to 69"
"1919100000000043191",1,0,2,1,"60 to 69"
"3216000000000056160",1,0,2,1,"40 to 49"
"3960100000000063601",1,0,2,2,"40 to 49"
"168300000000025683",1,0,2,1,"70 to 79"
"2533500000000049335",1,0,2,2,"40 to 49"
"1395400000000037954",1,0,2,2,"30 to 39"
"943500000000033435",1,0,2,1,"30 to 39"
"553600000000029536",1,0,1,1,"50 to 59"
"2533300000000049333",1,0,6,2,"30 to 39"
"2253600000000046536",1,0,2,2,"50 to 59"
"3907400000000063074",1,0,4,1,"40 to 49"
"1918300000000043183",1,0,2,1,"60 to 69"
"2254100000000046541",1,0,2,2,"50 to 59"
"3562700000000059627",1,0,2,1,"50 to 59"
"1402400000000038024",1,0,2,1,"40 to 49"
"2362200000000047622",1,0,2,1,"50 to 59"
"2412800000000048128",1,0,2,1,"30 to 39"
"3074200000000054742",1,0,2,2,"40 to 49"
"647400000000030474",1,0,2,2,"40 to 49"
"2259600000000046596",1,0,2,2,"50 to 59"
"2100900000000045009",1,0,3,2,"50 to 59"
"941900000000033419",1,0,2,1,"50 to 59"
"3547300000000059473",1,0,2,1,"40 to 49"
"2361200000000047612",1,0,2,1,"30 to 39"
"1038100000000034381",1,0,2,1,"50 to 59"
"3884600000000062846",1,0,2,1,"60 to 69"
"2485400000000048854",1,0,2,1,"60 to 69"
"2532100000000049321",1,0,2,2,"40 to 49"
"2411900000000048119",1,0,2,2,"30 to 39"
"828700000000032287",1,0,4,1,"40 to 49"
"167600000000025676",1,0,2,1,"40 to 49"
"2411200000000048112",1,0,2,2,"18 to 29"
"3802600000000062026",1,0,2,2,"50 to 59"
"2408900000000048089",1,0,2,2,"30 to 39"
"3615200000000060152",1,0,1,1,"60 to 69"
"827600000000032276",1,0,2,1,"60 to 69"
"3803800000000062038",1,0,2,2,"50 to 59"
"3885000000000062850",1,0,2,1,"30 to 39"
"3780400000000061804",1,0,2,2,"30 to 39"
"1629700000000040297",1,0,2,2,"30 to 39"
"2260000000000046600",1,0,1,2,"50 to 59"
"3344100000000057441",1,0,2,1,"50 to 59"
"929000000000033290",1,0,2,1,"30 to 39"
"3561900000000059619",1,0,2,1,"60 to 69"
"2531500000000049315",1,0,2,1,"50 to 59"
"1034900000000034349",1,0,2,1,"18 to 29"
"3886100000000062861",1,0,2,2,"40 to 49"
"162600000000025626",1,0,2,2,"40 to 49"
"819800000000032198",1,0,2,2,"60 to 69"
"161900000000025619",1,0,2,2,"30 to 39"
"3733900000000061339",1,0,2,1,"40 to 49"
"3680500000000060805",1,0,2,1,"60 to 69"
"2407000000000048070",1,0,2,1,"50 to 59"
"3785400000000061854",1,0,2,2,"30 to 39"
"1395300000000037953",1,0,2,2,"50 to 59"
"3079900000000054799",1,0,2,2,"50 to 59"
"287300000000026873",1,0,2,2,"30 to 39"
"287200000000026872",1,0,2,2,"50 to 59"
"1074400000000034744",1,0,4,2,"60 to 69"
"2260800000000046608",1,0,2,2,"50 to 59"
"287000000000026870",1,0,2,2,"30 to 39"
"3234100000000056341",1,0,2,1,"30 to 39"
"1395100000000037951",1,0,4,2,"40 to 49"
"3983500000000063835",1,0,2,2,"50 to 59"
"3886700000000062867",1,0,2,2,"40 to 49"
"3785500000000061855",1,0,2,2,"30 to 39"
"2406400000000048064",1,0,2,1,"50 to 59"
"1470700000000038707",1,0,2,2,"40 to 49"
"2406000000000048060",1,0,2,1,"60 to 69"
"284200000000026842",1,0,2,2,"50 to 59"
"3236600000000056366",1,0,2,1,"30 to 39"
"2859400000000052594",1,0,2,2,"50 to 59"
"2727800000000051278",1,0,2,1,"40 to 49"
"3705800000000061058",1,0,2,1,"40 to 49"
"921500000000033215",1,0,2,1,"18 to 29"
"3094500000000054945",1,0,2,2,"50 to 59"
"2261500000000046615",1,0,2,2,"40 to 49"
"604000000000030040",1,0,2,1,"50 to 59"
"2263700000000046637",1,0,2,2,"40 to 49"
"2511000000000049110",1,0,2,2,"30 to 39"
"3095000000000054950",1,0,2,2,"50 to 59"
"3945500000000063455",1,0,2,1,"60 to 69"
"919700000000033197",1,0,1,1,"18 to 29"
"2265300000000046653",1,0,2,2,"40 to 49"
"2651000000000050510",1,0,2,2,"40 to 49"
"1273800000000036738",1,0,2,2,"30 to 39"
"1906800000000043068",1,0,2,2,"50 to 59"
"2356600000000047566",1,0,1,1,"18 to 29"
"2050700000000044507",1,0,2,2,"60 to 69"
"3785700000000061857",1,0,2,2,"30 to 39"
"3097300000000054973",1,0,2,1,"50 to 59"
"283900000000026839",1,0,2,2,"40 to 49"
"2627400000000050274",1,0,1,1,"60 to 69"
"3561100000000059611",1,0,2,1,"50 to 59"
"2265900000000046659",1,0,2,2,"50 to 59"
"919300000000033193",1,0,2,1,"40 to 49"
"3706100000000061061",1,0,2,1,"30 to 39"
"1069200000000034692",1,0,2,1,"40 to 49"
"2459100000000048591",1,0,2,1,"60 to 69"
"3530000000000059300",1,0,1,1,"18 to 29"
"3785900000000061859",1,0,4,2,"40 to 49"
"2126200000000045262",1,0,3,2,"70 to 79"
"3657400000000060574",1,0,2,1,"40 to 49"
"2266900000000046669",1,0,2,2,"30 to 39"
"3567400000000059674",1,0,2,1,"50 to 59"
"3681200000000060812",1,0,2,1,"40 to 49"
"331400000000027314",1,0,2,2,"40 to 49"
"2508200000000049082",1,0,4,2,"50 to 59"
"1395500000000037955",1,0,2,2,"30 to 39"
"141600000000025416",1,0,1,2,"40 to 49"
"3244000000000056440",1,0,2,1,"40 to 49"
"3502700000000059027",1,0,2,1,"18 to 29"
"438500000000028385",1,0,2,2,"40 to 49"
"3543400000000059434",1,0,4,1,"60 to 69"
"915500000000033155",1,0,2,1,"30 to 39"
"1767700000000041677",1,0,2,2,"50 to 59"
"3806800000000062068",1,0,2,2,"60 to 69"
"1402300000000038023",1,0,2,1,"30 to 39"
"2689300000000050893",1,0,2,2,"60 to 69"
"3786100000000061861",1,0,2,2,"40 to 49"
"283700000000026837",1,0,1,2,"40 to 49"
"913400000000033134",1,0,2,1,"40 to 49"
"3162800000000055628",1,0,3,1,"60 to 69"
"3940400000000063404",1,0,2,2,"70 to 79"
"2134900000000045349",1,0,3,2,"70 to 79"
"475000000000028750",1,0,2,1,"30 to 39"
"2267000000000046670",1,0,2,2,"30 to 39"
"3734400000000061344",1,0,2,1,"30 to 39"
"2771600000000051716",1,0,1,2,"50 to 59"
"2399700000000047997",1,0,2,1,"60 to 69"
"912300000000033123",1,0,2,1,"30 to 39"
"635400000000030354",1,0,2,2,"70 to 79"
"2528600000000049286",1,0,2,1,"50 to 59"
"3786200000000061862",1,0,3,2,"40 to 49"
"909200000000033092",1,0,2,1,"50 to 59"
"2399400000000047994",1,0,2,1,"50 to 59"
"2267500000000046675",1,0,2,2,"50 to 59"
"1266100000000036661",1,0,4,2,"60 to 69"
"2581400000000049814",1,0,2,2,"40 to 49"
"2268100000000046681",1,0,2,2,"40 to 49"
"3786700000000061867",1,0,2,2,"30 to 39"
"2351100000000047511",1,0,3,2,"50 to 59"
"2506900000000049069",1,0,2,2,"50 to 59"
"1451600000000038516",1,0,2,2,"18 to 29"
"635300000000030353",1,0,2,1,"40 to 49"
"908700000000033087",1,0,2,1,"70 to 79"
"1402200000000038022",1,0,2,1,"60 to 69"
"1394600000000037946",1,0,2,2,"50 to 59"
"2350000000000047500",1,0,2,2,"30 to 39"
"3532800000000059328",1,0,2,1,"40 to 49"
"538300000000029383",1,0,2,2,"30 to 39"
"3255200000000056552",1,0,3,1,"60 to 69"
"1686900000000040869",1,0,2,2,"30 to 39"
"3102400000000055024",1,0,2,2,"40 to 49"
"1401700000000038017",1,0,2,1,"40 to 49"
"3786900000000061869",1,0,2,2,"40 to 49"
"524700000000029247",1,0,2,2,"30 to 39"
"242500000000026425",1,0,1,2,"40 to 49"
"3103400000000055034",1,0,2,2,"50 to 59"
"2144800000000045448",1,0,2,2,"40 to 49"
"283600000000026836",1,0,2,2,"30 to 39"
"3540800000000059408",1,0,2,1,"40 to 49"
"2636100000000050361",1,0,2,2,"40 to 49"
"3540600000000059406",1,0,2,1,"50 to 59"
"3258200000000056582",1,0,2,1,"40 to 49"
"2279500000000046795",1,0,2,2,"30 to 39"
"3258600000000056586",1,0,2,1,"50 to 59"
"283300000000026833",1,0,2,2,"40 to 49"
"3258700000000056587",1,0,4,1,"50 to 59"
"3533400000000059334",1,0,2,1,"50 to 59"
"3557500000000059575",1,0,4,1,"30 to 39"
"3259500000000056595",1,0,2,1,"30 to 39"
"3787200000000061872",1,0,2,2,"30 to 39"
"3261000000000056610",1,0,2,1,"50 to 59"
"1829000000000042290",1,0,1,2,"40 to 49"
"2902500000000053025",1,0,2,1,"30 to 39"
"1883900000000042839",1,0,2,1,"30 to 39"
"281900000000026819",1,0,2,2,"50 to 59"
"3364400000000057644",1,0,2,1,"40 to 49"
"901800000000033018",1,0,2,2,"50 to 59"
"3580900000000059809",1,0,2,1,"50 to 59"
"3365300000000057653",1,0,2,1,"40 to 49"
"901500000000033015",1,0,2,2,"50 to 59"
"524900000000029249",1,0,1,2,"30 to 39"
"1875300000000042753",1,0,2,1,"50 to 59"
"2345700000000047457",1,0,2,2,"30 to 39"
"1874500000000042745",1,0,2,1,"30 to 39"
"2994900000000053949",1,0,2,2,"60 to 69"
"3262400000000056624",1,0,2,1,"60 to 69"
"1830500000000042305",1,0,2,2,"50 to 59"
"1773600000000041736",1,0,2,2,"30 to 39"
"3788600000000061886",1,0,4,2,"60 to 69"
"2344300000000047443",1,0,2,2,"50 to 59"
"2916200000000053162",1,0,2,2,"40 to 49"
"315900000000027159",1,0,2,2,"40 to 49"
"3390500000000057905",1,0,2,1,"50 to 59"
"3789700000000061897",1,0,3,2,"60 to 69"
"1634400000000040344",1,0,1,2,"60 to 69"
"121500000000025215",1,0,2,2,"60 to 69"
"3104400000000055044",1,0,2,2,"30 to 39"
"2921200000000053212",1,0,2,2,"30 to 39"
"3998200000000063982",1,0,2,2,"40 to 49"
"2307900000000047079",1,0,2,2,"60 to 69"
"997700000000033977",1,0,2,1,"50 to 59"
"1859900000000042599",1,0,2,2,"40 to 49"
"2341500000000047415",1,0,2,2,"30 to 39"
"2026000000000044260",1,0,2,2,"50 to 59"
"461800000000028618",1,0,2,1,"60 to 69"
"1634900000000040349",1,0,2,2,"40 to 49"
"3010800000000054108",1,0,2,2,"30 to 39"
"2628600000000050286",1,0,2,1,"60 to 69"
"3707700000000061077",1,0,2,1,"40 to 49"
"3263700000000056637",1,0,2,1,"60 to 69"
"3398200000000057982",1,0,2,1,"60 to 69"
"3399900000000057999",1,0,2,1,"40 to 49"
"899600000000032996",1,0,2,2,"40 to 49"
"3106600000000055066",1,0,2,1,"50 to 59"
"2340900000000047409",1,0,2,2,"18 to 29"
"2340100000000047401",1,0,2,2,"60 to 69"
"2339900000000047399",1,0,1,2,"30 to 39"
"2312100000000047121",1,0,2,1,"30 to 39"
"2312600000000047126",1,0,2,1,"18 to 29"
"2312800000000047128",1,0,2,1,"40 to 49"
"2627600000000050276",1,0,3,1,"40 to 49"
"633500000000030335",1,0,2,1,"40 to 49"
"2338700000000047387",1,0,2,1,"18 to 29"
"2022200000000044222",1,0,2,1,"40 to 49"
"2547300000000049473",1,0,2,1,"18 to 29"
"3941300000000063413",1,0,2,2,"50 to 59"
"632100000000030321",1,0,2,1,"30 to 39"
"2782600000000051826",1,0,2,2,"40 to 49"
"2337900000000047379",1,0,2,1,"50 to 59"
"1410900000000038109",1,0,2,1,"30 to 39"
"997600000000033976",1,0,2,1,"40 to 49"
"3941500000000063415",1,0,2,2,"40 to 49"
"3264800000000056648",1,0,2,1,"60 to 69"
"3174000000000055740",1,0,2,1,"60 to 69"
"2313000000000047130",1,0,2,1,"50 to 59"
"3681800000000060818",1,0,2,1,"40 to 49"
"2449400000000048494",1,0,2,2,"40 to 49"
"1856800000000042568",1,0,4,2,"40 to 49"
"1450100000000038501",1,0,1,2,"40 to 49"
"2335800000000047358",1,0,2,2,"50 to 59"
"3400100000000058001",1,0,1,1,"50 to 59"
