REG,HHID,H3,H4,H6,H8,H5_A,H5_B,H5_C,H5_D,H5_E,H5_F,H7_A,H7_B,H7_C,H7_D,H7_E,H7_F,H9_A,H9_B,H9_C,H9_D,H9_E,H9_F,H9_G,H9_H,H9_I,H9_J,H9_K,H9_L,H9_M
14,000124300000000025243,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000124400000000025244,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000124500000000025245,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000124600000000025246,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000124700000000025247,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000124800000000025248,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000124900000000025249,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000125000000000025250,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000125100000000025251,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000125200000000025252,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000125300000000025253,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000125400000000025254,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000125500000000025255,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000125600000000025256,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000125700000000025257,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000125800000000025258,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000125900000000025259,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000126000000000025260,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000126100000000025261,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000126200000000025262,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000126300000000025263,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000126400000000025264,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000126500000000025265,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000126600000000025266,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000126700000000025267,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000126800000000025268,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000126900000000025269,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000127000000000025270,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000127100000000025271,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000127200000000025272,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000127300000000025273,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000127400000000025274,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000127500000000025275,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000127600000000025276,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000127700000000025277,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000127800000000025278,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000127900000000025279,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000128000000000025280,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000128100000000025281,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000128200000000025282,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000128300000000025283,1,2,2,1,,,,,,,,,,,,,,2,,4,,,,,,,,12,
14,000128400000000025284,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000128500000000025285,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000128600000000025286,2,2,2,1,,,,,,,,,,,,,,2,,,,6,,,9,,,12,
14,000128700000000025287,1,2,2,1,,,,,,,,,,,,,,2,3,,,6,,,,,,12,
14,000128800000000025288,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000128900000000025289,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000129000000000025290,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000129100000000025291,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000129200000000025292,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000129300000000025293,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000129400000000025294,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000129500000000025295,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000129600000000025296,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000129700000000025297,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000129800000000025298,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000129900000000025299,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000130000000000025300,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000130100000000025301,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000130200000000025302,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000130300000000025303,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000130400000000025304,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000130500000000025305,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000130600000000025306,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000130700000000025307,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000130800000000025308,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000130900000000025309,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000131000000000025310,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000131100000000025311,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000131200000000025312,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000131300000000025313,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000131400000000025314,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000131500000000025315,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000131600000000025316,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
